username,total_commits,total_additions,total_deletions,total_net_lines,repo_count,avg_additions_per_repo,avg_commits_per_repo,lines_per_commit
ocrickard,0,0,0,0,1,0.0,0.0,
nwhatt,0,0,0,0,1,0.0,0.0,
nriss,0,0,0,0,1,0.0,0.0,
noranda,0,0,0,0,1,0.0,0.0,
nkarip,0,0,0,0,1,0.0,0.0,
LTA-Thinking,0,0,0,0,1,0.0,0.0,
mocsharp,0,0,0,0,3,0.0,0.0,
mmsmits,0,0,0,0,2,0.0,0.0,
mmfazrin-phcc-gov,0,0,0,0,1,0.0,0.0,
mlapshin,0,0,0,0,1,0.0,0.0,
mjosborne1,0,0,0,0,1,0.0,0.0,
mjhenkes,0,0,0,0,1,0.0,0.0,
mitread,0,0,0,0,1,0.0,0.0,
KumoLiu,0,0,0,0,1,0.0,0.0,
KonradNojman,0,0,0,0,1,0.0,0.0,
KongLongGeFDU,0,0,0,0,1,0.0,0.0,
KipSigei,0,0,0,0,1,0.0,0.0,
nhunguet,0,0,0,0,1,0.0,0.0,
KevWatson,0,0,0,0,1,0.0,0.0,
KaliszS,0,0,0,0,2,0.0,0.0,
Kaleidophon,0,0,0,0,1,0.0,0.0,
najy97,0,0,0,0,1,0.0,0.0,
nahidalam,0,0,0,0,1,0.0,0.0,
nagyo,1077,0,0,0,1,0.0,1077.0,0.0
nageshbb,0,0,0,0,1,0.0,0.0,
myungchoi,0,0,0,0,1,0.0,0.0,
myoung34,0,0,0,0,1,0.0,0.0,
mwithi,0,0,0,0,1,0.0,0.0,
murnic,0,0,0,0,1,0.0,0.0,
KevinMayfield,0,0,0,0,1,0.0,0.0,
teryhill,0,0,0,0,1,0.0,0.0,
temporafugiunt,0,0,0,0,1,0.0,0.0,
taraojo,0,0,0,0,1,0.0,0.0,
Copilot,0,0,0,0,3,0.0,0.0,
Cicatriiz,0,0,0,0,1,0.0,0.0,
Chinlinlee,0,0,0,0,1,0.0,0.0,
ChengFR,0,0,0,0,1,0.0,0.0,
ChaoPang,0,0,0,0,2,0.0,0.0,
Cam2337,0,0,0,0,1,0.0,0.0,
CaitlinV39,0,0,0,0,1,0.0,0.0,
Bugs5382,0,0,0,0,2,0.0,0.0,
FreeheelGreg,0,0,0,0,1,0.0,0.0,
vikas15bhardwaj,0,0,0,0,1,0.0,0.0,
vesnushka,0,0,0,0,1,0.0,0.0,
velramiir,0,0,0,0,1,0.0,0.0,
vela1606,0,0,0,0,1,0.0,0.0,
varunshenoy,0,0,0,0,1,0.0,0.0,
v-pbartley,0,0,0,0,3,0.0,0.0,
wamorn,0,0,0,0,1,0.0,0.0,
waltaskew,0,0,0,0,1,0.0,0.0,
w-is-h,0,0,0,0,2,0.0,0.0,
vselvarajijay,0,0,0,0,1,0.0,0.0,
vorspiel-inator,0,0,0,0,1,0.0,0.0,
vmueller-vg,0,0,0,0,1,0.0,0.0,
Bingjiling,0,0,0,0,2,0.0,0.0,
t3chn0m4g3,0,0,0,0,1,0.0,0.0,
szaccagni,0,0,0,0,1,0.0,0.0,
synroborgan,0,0,0,0,1,0.0,0.0,
svituz,0,0,0,0,1,0.0,0.0,
svittoz,0,0,0,0,1,0.0,0.0,
suyashkumar,0,0,0,0,2,0.0,0.0,
suwarnoong,0,0,0,0,1,0.0,0.0,
surangak,0,0,0,0,2,0.0,0.0,
sunsetsystems,0,0,0,0,1,0.0,0.0,
sundberg,0,0,0,0,1,0.0,0.0,
suhana13,0,0,0,0,1,0.0,0.0,
thomiz,0,0,0,0,1,0.0,0.0,
steve1973,0,0,0,0,1,0.0,0.0,
stephenwaite,0,0,0,0,1,0.0,0.0,
umar-gh,0,0,0,0,1,0.0,0.0,
twilson63,0,0,0,0,1,0.0,0.0,
tsibley,0,0,0,0,1,0.0,0.0,
trostalski,0,0,0,0,1,0.0,0.0,
tripott,0,0,0,0,1,0.0,0.0,
tp1uphealth,0,0,0,0,1,0.0,0.0,
tompollard,0,0,0,0,3,0.0,0.0,
tmallia,0,0,0,0,1,0.0,0.0,
tim1ford,0,0,0,0,1,0.0,0.0,
thutuva,0,0,0,0,1,0.0,0.0,
subigre,0,0,0,0,1,0.0,0.0,
wyli,0,0,0,0,1,0.0,0.0,
Bikash-bluebash,0,0,0,0,1,0.0,0.0,
Biao,0,0,0,0,1,0.0,0.0,
Bensoonius,0,0,0,0,1,0.0,0.0,
BenGlicksberg,0,0,0,0,1,0.0,0.0,
BLooDBRothER,0,0,0,0,1,0.0,0.0,
yubinmimi,0,0,0,0,1,0.0,0.0,
ypoiron,0,0,0,0,1,0.0,0.0,
AyedSamy,0,0,0,0,1,0.0,0.0,
ybouilla,0,0,0,0,1,0.0,0.0,
Artessay,0,0,0,0,1,0.0,0.0,
vmsuthar56,0,0,0,0,1,0.0,0.0,
Arashhs,0,0,0,0,1,0.0,0.0,
ApricotLace,0,0,0,0,1,0.0,0.0,
AnthonyMolinaro,0,0,0,0,2,0.0,0.0,
yulupan00,0,0,0,0,1,0.0,0.0,
AndyBowes,0,0,0,0,1,0.0,0.0,
Ale9806,0,0,0,0,1,0.0,0.0,
Anders35,0,0,0,0,1,0.0,0.0,
AnalogJ,0,0,0,0,2,0.0,0.0,
yy6linda,0,0,0,0,1,0.0,0.0,
ywarnecke,0,0,0,0,1,0.0,0.0,
yuriy-sedinkin,0,0,0,0,1,0.0,0.0,
yunwwang,0,0,0,0,1,0.0,0.0,
Arcade0,0,0,0,0,1,0.0,0.0,
vinhnguyen3455,0,0,0,0,1,0.0,0.0,
Dev-MerB,0,0,0,0,1,0.0,0.0,
DaveraGabriel,0,0,0,0,1,0.0,0.0,
DarkMarmot,0,0,0,0,2,0.0,0.0,
DannyBoyNg,0,0,0,0,1,0.0,0.0,
DMadrid,0,0,0,0,1,0.0,0.0,
DASpringate,0,0,0,0,1,0.0,0.0,
CragVFX,0,0,0,0,1,0.0,0.0,
yigit,0,0,0,0,1,0.0,0.0,
yifanmai,0,0,0,0,1,0.0,0.0,
ygupta89,0,0,0,0,1,0.0,0.0,
wsugarman,0,0,0,0,1,0.0,0.0,
xinyuejohn,0,0,0,0,1,0.0,0.0,
wooheaven,0,0,0,0,1,0.0,0.0,
wombleton,0,0,0,0,1,0.0,0.0,
wluyima,1521,0,0,0,1,0.0,1521.0,0.0
wlad,0,0,0,0,2,0.0,0.0,
wi-y,0,0,0,0,1,0.0,0.0,
whaleloops,0,0,0,0,1,0.0,0.0,
wardle,0,0,0,0,1,0.0,0.0,
wangmengsd,0,0,0,0,1,0.0,0.0,
wanghaisheng,0,0,0,0,1,0.0,0.0,
xpander53,0,0,0,0,1,0.0,0.0,
xjtushilei,0,0,0,0,1,0.0,0.0,
xj2193,0,0,0,0,1,0.0,0.0,
wshi83,0,0,0,0,2,0.0,0.0,
rkettelerij,0,0,0,0,1,0.0,0.0,
ritaranx,0,0,0,0,2,0.0,0.0,
rimiti,0,0,0,0,1,0.0,0.0,
riksmithies,1229,0,0,0,1,0.0,1229.0,0.0
ruthlessdrifter,0,0,0,0,1,0.0,0.0,
ruoyu-chen,0,0,0,0,1,0.0,0.0,
rukshn,0,0,0,0,1,0.0,0.0,
rublag,0,0,0,0,1,0.0,0.0,
rsmayda,0,0,0,0,7,0.0,0.0,
rserur,0,0,0,0,1,0.0,0.0,
rpolyano,0,0,0,0,1,0.0,0.0,
tadgh,1101,0,0,0,1,0.0,1101.0,0.0
roopesh83,0,0,0,0,2,0.0,0.0,
roman-kh,0,0,0,0,1,0.0,0.0,
GwonHyeok,0,0,0,0,1,0.0,0.0,
Goku1110,0,0,0,0,1,0.0,0.0,
GlebMalikov,0,0,0,0,1,0.0,0.0,
Giovannicina,0,0,0,0,1,0.0,0.0,
Gematik-Entwicklung,0,0,0,0,1,0.0,0.0,
seanmcilvenna,0,0,0,0,3,0.0,0.0,
seanfinan,0,0,0,0,1,0.0,0.0,
sczzz3,0,0,0,0,1,0.0,0.0,
scotthlee,0,0,0,0,1,0.0,0.0,
sasurfer,0,0,0,0,1,0.0,0.0,
rosap,0,0,0,0,1,0.0,0.0,
HowieHsu0126,0,0,0,0,1,0.0,0.0,
Honghan,0,0,0,0,1,0.0,0.0,
HendrikSchmidt,0,0,0,0,1,0.0,0.0,
Hendrejvr,0,0,0,0,1,0.0,0.0,
rhondaschwartz,0,0,0,0,1,0.0,0.0,
rhdolin,0,0,0,0,2,0.0,0.0,
rettema,0,0,0,0,1,0.0,0.0,
renovate[bot],0,0,0,0,3,0.0,0.0,
renoschubert,0,0,0,0,2,0.0,0.0,
reidgarner,0,0,0,0,1,0.0,0.0,
rdingwell,0,0,0,0,1,0.0,0.0,
rczern,0,0,0,0,1,0.0,0.0,
robbyoconnor,0,0,0,0,1,0.0,0.0,
rbuisson,0,0,0,0,1,0.0,0.0,
rbren,0,0,0,0,1,0.0,0.0,
raheelsayeed,0,0,0,0,1,0.0,0.0,
rafiattrach,0,0,0,0,1,0.0,0.0,
qqndrew,0,0,0,0,1,0.0,0.0,
GanjinZero,0,0,0,0,1,0.0,0.0,
lmckenzi,0,0,0,0,2,0.0,0.0,
FireJuun,0,0,0,0,2,0.0,0.0,
FabioBo,0,0,0,0,1,0.0,0.0,
FMCalisto,0,0,0,0,1,0.0,0.0,
rogordon01,0,0,0,0,1,0.0,0.0,
rockyman2,0,0,0,0,1,0.0,0.0,
rcrichton,0,0,0,0,1,0.0,0.0,
Dtphelan1,0,0,0,0,2,0.0,0.0,
DrShushen,0,0,0,0,1,0.0,0.0,
Dokotela,0,0,0,0,2,0.0,0.0,
sowu880,0,0,0,0,2,0.0,0.0,
sonjoonho,0,0,0,0,1,0.0,0.0,
someyoungideas,0,0,0,0,1,0.0,0.0,
snowke,0,0,0,0,1,0.0,0.0,
smals-jy,0,0,0,0,1,0.0,0.0,
skeemer,0,0,0,0,1,0.0,0.0,
sjpadgett,0,0,0,0,1,0.0,0.0,
starmpcc,0,0,0,0,1,0.0,0.0,
sashrika,0,0,0,0,1,0.0,0.0,
stanojevic-boris,0,0,0,0,1,0.0,0.0,
sssilvar,0,0,0,0,1,0.0,0.0,
sschoop,0,0,0,0,1,0.0,0.0,
spiros,0,0,0,0,2,0.0,0.0,
spilikin,0,0,0,0,1,0.0,0.0,
F1mc,0,0,0,0,1,0.0,0.0,
EternityYW,0,0,0,0,1,0.0,0.0,
EricParapini-Lantanagroup,0,0,0,0,1,0.0,0.0,
EricMaeker,7607,0,0,0,1,0.0,7607.0,0.0
EdiNation,0,0,0,0,1,0.0,0.0,
ESouza,0,0,0,0,1,0.0,0.0,
tahsinkose,0,0,0,0,1,0.0,0.0,
starbelly,0,0,0,0,2,0.0,0.0,
sarahmish,0,0,0,0,1,0.0,0.0,
sarah-tuva,0,0,0,0,1,0.0,0.0,
saquino0827,0,0,0,0,1,0.0,0.0,
sanaAyrml,0,0,0,0,1,0.0,0.0,
samson920,0,0,0,0,1,0.0,0.0,
sameeragunarathne,0,0,0,0,4,0.0,0.0,
sajaddarabi,0,0,0,0,1,0.0,0.0,
ryanbaldwin,0,0,0,0,1,0.0,0.0,
sirkyp,0,0,0,0,1,0.0,0.0,
singhashish024,0,0,0,0,1,0.0,0.0,
sinanshi,0,0,0,0,1,0.0,0.0,
sinaci,0,0,0,0,1,0.0,0.0,
Dunmail,0,0,0,0,1,0.0,0.0,
siddythings,0,0,0,0,1,0.0,0.0,
shivangvijay,0,0,0,0,1,0.0,0.0,
shihjay2,0,0,0,0,1,0.0,0.0,
shengpu-tang,0,0,0,0,1,0.0,0.0,
shamil-t,0,0,0,0,1,0.0,0.0,
shalkam,0,0,0,0,1,0.0,0.0,
sfanxiang,0,0,0,0,1,0.0,0.0,
seonhee99,0,0,0,0,1,0.0,0.0,
senaranya,0,0,0,0,1,0.0,0.0,
semantic-release-bot,0,0,0,0,3,0.0,0.0,
segfault,0,0,0,0,2,0.0,0.0,
EPedrotti,0,0,0,0,1,0.0,0.0,
simonvadee,0,0,0,0,2,0.0,0.0,
a-kore,0,0,0,0,1,0.0,0.0,
csande,0,0,0,0,2,0.0,0.0,
cragun47,0,0,0,0,1,0.0,0.0,
copybara-github,0,0,0,0,1,0.0,0.0,
confused-moniker,0,0,0,0,1,0.0,0.0,
codyebberson,0,0,0,0,1,0.0,0.0,
YaroslavTir,0,0,0,0,1,0.0,0.0,
Windman,0,0,0,0,1,0.0,0.0,
VladMstv,0,0,0,0,1,0.0,0.0,
Vincent-Maladiere,0,0,0,0,1,0.0,0.0,
VimukthiRajapaksha,0,0,0,0,1,0.0,0.0,
lhs-open,0,0,0,0,1,0.0,0.0,
VarshaDanduri,0,0,0,0,1,0.0,0.0,
USM-CHU-FGuyon,0,0,0,0,1,0.0,0.0,
Tshimanga,0,0,0,0,1,0.0,0.0,
TornadoAzul,0,0,0,0,1,0.0,0.0,
Thopap,0,0,0,0,1,0.0,0.0,
davidmckillop-ADHA,0,0,0,0,1,0.0,0.0,
davebronson,0,0,0,0,1,0.0,0.0,
dave92082,0,0,0,0,1,0.0,0.0,
danygammall,0,0,0,0,2,0.0,0.0,
danka74,0,0,0,0,1,0.0,0.0,
dandalavinod,0,0,0,0,1,0.0,0.0,
damoodamoo,0,0,0,0,1,0.0,0.0,
VickSuresh,0,0,0,0,1,0.0,0.0,
ZhiGroup,0,0,0,0,1,0.0,0.0,
ZackAustin,0,0,0,0,1,0.0,0.0,
Yuanhy1997,0,0,0,0,1,0.0,0.0,
chdinh,2682,0,0,0,1,0.0,2682.0,0.0
chaseastewart,0,0,0,0,1,0.0,0.0,
chaitak-gorai,0,0,0,0,1,0.0,0.0,
chMatvey,0,0,0,0,1,0.0,0.0,
cerbs-of-yore,0,0,0,0,1,0.0,0.0,
caspears,0,0,0,0,1,0.0,0.0,
carmrui,0,0,0,0,1,0.0,0.0,
canon-cmi-jonathan-whitby,0,0,0,0,1,0.0,0.0,
aaronnash,0,0,0,0,1,0.0,0.0,
Thomzoy,0,0,0,0,1,0.0,0.0,
ThatOneBro,0,0,0,0,1,0.0,0.0,
cmark,9039,0,0,0,1,0.0,9039.0,0.0
clydet,0,0,0,0,1,0.0,0.0,
cloud-sean,0,0,0,0,1,0.0,0.0,
christieewen,0,0,0,0,1,0.0,0.0,
chocolocked,0,0,0,0,1,0.0,0.0,
chenxran,0,0,0,0,1,0.0,0.0,
acumarav,0,0,0,0,1,0.0,0.0,
actions-user,0,0,0,0,1,0.0,0.0,
aboufahj,0,0,0,0,1,0.0,0.0,
aaryanxshah,0,0,0,0,1,0.0,0.0,
callahantiff,0,0,0,0,1,0.0,0.0,
dsuch,14185,0,0,0,1,0.0,14185.0,0.0
dshills,0,0,0,0,2,0.0,0.0,
drmuskangarg,0,0,0,0,1,0.0,0.0,
draaslan,0,0,0,0,1,0.0,0.0,
dotasek,0,0,0,0,6,0.0,0.0,
dorlugasigal,0,0,0,0,1,0.0,0.0,
donaldkibet,0,0,0,0,1,0.0,0.0,
dogversioning,0,0,0,0,1,0.0,0.0,
Shruthi42,0,0,0,0,1,0.0,0.0,
ShaunDonn2,0,0,0,0,1,0.0,0.0,
Shaumik-Ashraf,0,0,0,0,1,0.0,0.0,
daimor,0,0,0,0,1,0.0,0.0,
ShahadThobaiti,0,0,0,0,1,0.0,0.0,
SevKohler,0,0,0,0,1,0.0,0.0,
elh,0,0,0,0,1,0.0,0.0,
ekryski,0,0,0,0,1,0.0,0.0,
ekdeveloper,0,0,0,0,1,0.0,0.0,
ejson03,0,0,0,0,1,0.0,0.0,
ejc21,0,0,0,0,1,0.0,0.0,
eedrummer,0,0,0,0,5,0.0,0.0,
edaaydinea,0,0,0,0,1,0.0,0.0,
erohmensing,0,0,0,0,1,0.0,0.0,
eroell,0,0,0,0,1,0.0,0.0,
erikhoward,0,0,0,0,1,0.0,0.0,
ShahimEssaid,0,0,0,0,1,0.0,0.0,
daemel,0,0,0,0,3,0.0,0.0,
dacasals-tw,0,0,0,0,1,0.0,0.0,
cyberuna,0,0,0,0,1,0.0,0.0,
cviddenKwantum,0,0,0,0,1,0.0,0.0,
ctomasz,0,0,0,0,1,0.0,0.0,
csmariano,0,0,0,0,1,0.0,0.0,
csinva,0,0,0,0,1,0.0,0.0,
dogukan10,0,0,0,0,1,0.0,0.0,
divyaramnath-13,0,0,0,0,1,0.0,0.0,
dionmcm,0,0,0,0,1,0.0,0.0,
dho937,0,0,0,0,1,0.0,0.0,
dgrudinin,0,0,0,0,1,0.0,0.0,
dtr-agency,0,0,0,0,1,0.0,0.0,
denniskigen,0,0,0,0,1,0.0,0.0,
dek924,0,0,0,0,1,0.0,0.0,
dehall,0,0,0,0,2,0.0,0.0,
dcarbone,0,0,0,0,2,0.0,0.0,
dbooth-boston,0,0,0,0,1,0.0,0.0,
dbbnicole,0,0,0,0,1,0.0,0.0,
dbajet,0,0,0,0,1,0.0,0.0,
dw,145,0,0,0,1,0.0,145.0,0.0
dustn1259,0,0,0,0,1,0.0,0.0,
duncand,0,0,0,0,1,0.0,0.0,
ducu,0,0,0,0,1,0.0,0.0,
duaneedwards,0,0,0,0,1,0.0,0.0,
deoxxa,0,0,0,0,1,0.0,0.0,
xmlmodeling,0,0,0,0,1,0.0,0.0,
alexszilagyi,0,0,0,0,1,0.0,0.0,
alexmorley,0,0,0,0,1,0.0,0.0,
alexmbennett2,0,0,0,0,1,0.0,0.0,
alexluft,0,0,0,0,1,0.0,0.0,
alexlaurinmath,0,0,0,0,1,0.0,0.0,
alexisthual,0,0,0,0,1,0.0,0.0,
alexisc0le,0,0,0,0,1,0.0,0.0,
anthonysena,0,0,0,0,1,0.0,0.0,
aniskand,0,0,0,0,1,0.0,0.0,
angusmillar,0,0,0,0,2,0.0,0.0,
Zzocker,0,0,0,0,1,0.0,0.0,
androdat,0,0,0,0,1,0.0,0.0,
andrewpatto,0,0,0,0,1,0.0,0.0,
andrequina,0,0,0,0,3,0.0,0.0,
andreakreichgauer,0,0,0,0,1,0.0,0.0,
atsvetkova-ody,0,0,0,0,1,0.0,0.0,
athiththan11,0,0,0,0,1,0.0,0.0,
ashwinkumargb,0,0,0,0,1,0.0,0.0,
ashfahan,0,0,0,0,1,0.0,0.0,
ash3n,0,0,0,0,1,0.0,0.0,
apeteri,2962,0,0,0,1,0.0,2962.0,0.0
aparrot89,0,0,0,0,1,0.0,0.0,
apanasiuk-el,0,0,0,0,1,0.0,0.0,
angeloziletti,0,0,0,0,1,0.0,0.0,
0794xiaobaozi,0,0,0,0,1,0.0,0.0,
360dgries,0,0,0,0,2,0.0,0.0,
360disrupt,0,0,0,0,2,0.0,0.0,
5HT,0,0,0,0,1,0.0,0.0,
818000,0,0,0,0,1,0.0,0.0,
AAAAAAbaAba,0,0,0,0,1,0.0,0.0,
ABDA-FHIR,0,0,0,0,1,0.0,0.0,
AD1306,0,0,0,0,1,0.0,0.0,
yashverma9,0,0,0,0,1,0.0,0.0,
ylboerner,0,0,0,0,2,0.0,0.0,
amrit110,0,0,0,0,2,0.0,0.0,
yehezkel,0,0,0,0,1,0.0,0.0,
amol-vyas,0,0,0,0,1,0.0,0.0,
amiralansary,0,0,0,0,1,0.0,0.0,
AlexanderDesmond,0,0,0,0,1,0.0,0.0,
AlexSWong,0,0,0,0,1,0.0,0.0,
AlexJSully,0,0,0,0,1,0.0,0.0,
AdritRao,0,0,0,0,1,0.0,0.0,
zplata,0,0,0,0,1,0.0,0.0,
zp9763,0,0,0,0,1,0.0,0.0,
znatty22,0,0,0,0,1,0.0,0.0,
zhywan,0,0,0,0,1,0.0,0.0,
zhenkewu,0,0,0,0,1,0.0,0.0,
zavoraad,0,0,0,0,1,0.0,0.0,
zzachw,0,0,0,0,1,0.0,0.0,
bgallamoza,0,0,0,0,1,0.0,0.0,
alexey-tschudnowsky,0,0,0,0,1,0.0,0.0,
alexanderkuvaev,0,0,0,0,1,0.0,0.0,
alexanderkiel,0,0,0,0,3,0.0,0.0,
alex-golts,0,0,0,0,1,0.0,0.0,
aldenbudiman,0,0,0,0,1,0.0,0.0,
albariera,0,0,0,0,1,0.0,0.0,
akshayswaminathan,0,0,0,0,1,0.0,0.0,
cajetzer,0,0,0,0,1,0.0,0.0,
c-w,0,0,0,0,1,0.0,0.0,
bwalsh,0,0,0,0,1,0.0,0.0,
anupama-pathirage,0,0,0,0,1,0.0,0.0,
brynlewis,0,0,0,0,1,0.0,0.0,
brylie,0,0,0,0,1,0.0,0.0,
bryanhunter,0,0,0,0,1,0.0,0.0,
brianaltan,0,0,0,0,1,0.0,0.0,
brettmarquard,0,0,0,0,1,0.0,0.0,
brettesler-ext,0,0,0,0,1,0.0,0.0,
brentmoen,0,0,0,0,2,0.0,0.0,
brendankowitz,0,0,0,0,1,0.0,0.0,
brandantck,0,0,0,0,1,0.0,0.0,
bramwesselo,0,0,0,0,1,0.0,0.0,
bradymiller,0,0,0,0,2,0.0,0.0,
a-chahin,0,0,0,0,1,0.0,0.0,
bstewartlg,0,0,0,0,1,0.0,0.0,
amedrp,0,0,0,0,1,0.0,0.0,
amazon-auto,0,0,0,0,1,0.0,0.0,
amarvakul,0,0,0,0,1,0.0,0.0,
allentiak,0,0,0,0,1,0.0,0.0,
alisoncallahan,0,0,0,0,1,0.0,0.0,
alextumanov,0,0,0,0,1,0.0,0.0,
akiani,0,0,0,0,1,0.0,0.0,
akanduru,0,0,0,0,1,0.0,0.0,
ajchen,0,0,0,0,1,0.0,0.0,
aianwong,0,0,0,0,1,0.0,0.0,
afoncubierta,0,0,0,0,1,0.0,0.0,
adamkells,0,0,0,0,1,0.0,0.0,
bhinebaugh,0,0,0,0,1,0.0,0.0,
bashir2,0,0,0,0,2,0.0,0.0,
baseTwo,0,0,0,0,1,0.0,0.0,
barabo,0,0,0,0,1,0.0,0.0,
bar-vim,0,0,0,0,1,0.0,0.0,
baowaly,0,0,0,0,1,0.0,0.0,
baeseongsu,0,0,0,0,1,0.0,0.0,
badmonster0,0,0,0,0,1,0.0,0.0,
awsbakha,0,0,0,0,1,0.0,0.0,
bradsawadye,0,0,0,0,1,0.0,0.0,
bradhead,0,0,0,0,1,0.0,0.0,
blengerich,0,0,0,0,1,0.0,0.0,
bkaney,0,0,0,0,3,0.0,0.0,
bdrillard,0,0,0,0,1,0.0,0.0,
jfattic,0,0,0,0,1,0.0,0.0,
jexica0921,0,0,0,0,1,0.0,0.0,
jewelltaylor,0,0,0,0,1,0.0,0.0,
jeromecc,623,0,0,0,1,0.0,623.0,0.0
jen-p,0,0,0,0,1,0.0,0.0,
jduteau,0,0,0,0,1,0.0,0.0,
jdsalaro,0,0,0,0,1,0.0,0.0,
jdlnolen,1069,0,0,0,1,0.0,1069.0,0.0
jdisho,0,0,0,0,1,0.0,0.0,
MedShake,0,0,0,0,1,0.0,0.0,
McJackTang,0,0,0,0,1,0.0,0.0,
ericpan64,0,0,0,0,2,0.0,0.0,
MauriceReeves-usds,905,0,0,0,1,0.0,905.0,0.0
MatthewVita,0,0,0,0,1,0.0,0.0,
MasudaNaika,0,0,0,0,1,0.0,0.0,
jordan83,0,0,0,0,1,0.0,0.0,
jonterrylee,0,0,0,0,2,0.0,0.0,
jonkelling,0,0,0,0,1,0.0,0.0,
jonathanlli,0,0,0,0,1,0.0,0.0,
johnpaulett,0,0,0,0,2,0.0,0.0,
joenarus,0,0,0,0,1,0.0,0.0,
joelsathi,0,0,0,0,1,0.0,0.0,
jobucher,0,0,0,0,1,0.0,0.0,
joamats,0,0,0,0,1,0.0,0.0,
MaxPhilips,0,0,0,0,1,0.0,0.0,
RobHolme,0,0,0,0,3,0.0,0.0,
Rhuax,0,0,0,0,1,0.0,0.0,
Refactoring,0,0,0,0,1,0.0,0.0,
RamilGaripov,3607,0,0,0,2,0.0,1803.5,0.0
Qyf216,0,0,0,0,1,0.0,0.0,
QuanWanxx,0,0,0,0,1,0.0,0.0,
jddamore,0,0,0,0,2,0.0,0.0,
jcy1225,0,0,0,0,2,0.0,0.0,
jcomellas,0,0,0,0,1,0.0,0.0,
jay-knight,0,0,0,0,1,0.0,0.0,
jawalonoski,0,0,0,0,5,0.0,0.0,
jingsliu,0,0,0,0,1,0.0,0.0,
jason-crowley,0,0,0,0,1,0.0,0.0,
jamesmullenbach,0,0,0,0,1,0.0,0.0,
jameschump,0,0,0,0,1,0.0,0.0,
jamesagnew,5632,0,0,0,5,0.0,1126.4,0.0
james-answer,0,0,0,0,1,0.0,0.0,
jakubadamek,0,0,0,0,1,0.0,0.0,
jaime-olivares,0,0,0,0,1,0.0,0.0,
jmb1993001,0,0,0,0,1,0.0,0.0,
jlspencer8,0,0,0,0,1,0.0,0.0,
jkingok,0,0,0,0,1,0.0,0.0,
jkiddo,0,0,0,0,1,0.0,0.0,
jjgriff93,0,0,0,0,1,0.0,0.0,
jason-fries,0,0,0,0,3,0.0,0.0,
kachok,0,0,0,0,2,0.0,0.0,
liuqidong07,0,0,0,0,1,0.0,0.0,
lisayin,0,0,0,0,1,0.0,0.0,
007sunny,0,0,0,0,1,0.0,0.0,
lhcye,0,0,0,0,2,0.0,0.0,
leopold-franz,0,0,0,0,1,0.0,0.0,
lemuria-wchen,0,0,0,0,1,0.0,0.0,
leite08,4393,0,0,0,1,0.0,4393.0,0.0
lawrenceadams,0,0,0,0,1,0.0,0.0,
ky-zo,0,0,0,0,1,0.0,0.0,
kwboone,0,0,0,0,1,0.0,0.0,
jyx-su,0,0,0,0,1,0.0,0.0,
kk7nc,0,0,0,0,1,0.0,0.0,
lucalianas,0,0,0,0,1,0.0,0.0,
luan-dev,0,0,0,0,1,0.0,0.0,
lschmierer,0,0,0,0,1,0.0,0.0,
lrasmy,0,0,0,0,2,0.0,0.0,
lowks,0,0,0,0,1,0.0,0.0,
louisblankemeier,0,0,0,0,1,0.0,0.0,
lord,0,0,0,0,1,0.0,0.0,
loafoe,0,0,0,0,2,0.0,0.0,
lmsurpre,0,0,0,0,2,0.0,0.0,
lmillergithub,0,0,0,0,2,0.0,0.0,
lmd59,0,0,0,0,1,0.0,0.0,
kruzikh,0,0,0,0,1,0.0,0.0,
jy95,0,0,0,0,1,0.0,0.0,
jwyrwa,0,0,0,0,1,0.0,0.0,
julienblin,0,0,0,0,1,0.0,0.0,
joverlee521,0,0,0,0,1,0.0,0.0,
joshcds,0,0,0,0,1,0.0,0.0,
jorritspee,0,0,0,0,1,0.0,0.0,
Montgomeryyyy,0,0,0,0,1,0.0,0.0,
MikeRileyGTRI,0,0,0,0,1,0.0,0.0,
MiguelAFH,0,0,0,0,1,0.0,0.0,
Mhitchins,0,0,0,0,1,0.0,0.0,
MenkaChaugule,0,0,0,0,1,0.0,0.0,
kirilklein,0,0,0,0,1,0.0,0.0,
kaichop,0,0,0,0,1,0.0,0.0,
kfrancis,0,0,0,0,1,0.0,0.0,
kexinhuang12345,0,0,0,0,1,0.0,0.0,
kenza-bouzid,0,0,0,0,1,0.0,0.0,
kennethleungty,0,0,0,0,1,0.0,0.0,
kelkalot,0,0,0,0,1,0.0,0.0,
keizer619,0,0,0,0,1,0.0,0.0,
kczpl,0,0,0,0,2,0.0,0.0,
kaushikacharya,0,0,0,0,1,0.0,0.0,
katy-sadowski,0,0,0,0,1,0.0,0.0,
katrohlwing,0,0,0,0,1,0.0,0.0,
karlmdavis,0,0,0,0,1,0.0,0.0,
kairstenfay,0,0,0,0,1,0.0,0.0,
kingmanzhang,0,0,0,0,1,0.0,0.0,
S-Romberg,0,0,0,0,1,0.0,0.0,
RyanWangZf,0,0,0,0,1,0.0,0.0,
Ruhanga,0,0,0,0,1,0.0,0.0,
garethbowen,0,0,0,0,1,0.0,0.0,
gangcai,0,0,0,0,1,0.0,0.0,
gameltzer,0,0,0,0,1,0.0,0.0,
gabrielbmotta,1326,0,0,0,1,0.0,1326.0,0.0
gabbyes,0,0,0,0,1,0.0,0.0,
frisbm,0,0,0,0,1,0.0,0.0,
